pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,isInsideOut,isInsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
15-0,4-3,0-0,1.0,1885003,,,40,,1,Ad,Elise Wagle,Near,1.0,Body,101.0,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Elise Wagle,,,,,0,1st Serve In,Body,
15-0,4-3,0-0,,1889636,,,40,,2,Ad,Elise Wagle,Near,,,,,,,,,,173.0,471.0,Crosscourt,Backhand,,,,,,,,,,-61.0,-227.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Jo-Yee Chan,,,,,0,,,Short
15-0,4-3,0-0,,1891401,,,40,,3,Ad,Elise Wagle,Near,,,,,,,,,,-72.0,-336.0,Down the Line,Forehand,,,,,,,,,,-64.0,362.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Elise Wagle,,1,,,0,,,Deep
15-0,4-3,0-0,,1892718,1.0,,40,,4,Deuce,Elise Wagle,Near,,,,,,,,,,-85.0,490.0,Crosscourt,Forehand,,,,,,,,,,227.0,2.0,,,1.0,1.0,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Jo-Yee Chan,,,,Elise Wagle,1,,,
30-0,4-3,0-0,1.0,1921194,,,41,,1,Deuce,Elise Wagle,Near,1.0,Body,-64.0,233.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Elise Wagle,,,,,0,1st Serve In,Body,
30-0,4-3,0-0,,1925102,,,41,,2,Deuce,Elise Wagle,Near,,,,,,,,,,-88.0,474.0,Down the Line,Forehand,,,,,,,,,,-29.0,-405.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Jo-Yee Chan,,,,,0,,,Deep
30-0,4-3,0-0,,1926179,,,41,,3,Ad,Elise Wagle,Near,,,,,,,,,,-11.0,-512.0,Crosscourt,Backhand,,,,,,,,,,112.0,338.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Elise Wagle,,,,,0,,,Short
30-0,4-3,0-0,,1927599,1.0,,41,,4,Ad,Elise Wagle,Near,,,,,,,,,,157.0,474.0,Down the Line,Backhand,,,,,,,,,,24.0,10.0,,,,1.0,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Jo-Yee Chan,,,,Elise Wagle,1,,,
40-0,4-3,0-0,1.0,1959424,,,42,,1,Ad,Elise Wagle,Near,1.0,Body,90.0,217.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Elise Wagle,,,,,0,1st Serve In,Body,
40-0,4-3,0-0,,1960904,,,42,,2,Ad,Elise Wagle,Near,,,,,,,,,,146.0,471.0,Crosscourt,Backhand,,,,,,,,,,-64.0,-342.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Jo-Yee Chan,,,,,0,,,Short
40-0,4-3,0-0,,1962057,1.0,,42,,2,Ad,Elise Wagle,Near,,,,,,,,,,154.0,479.0,Crosscourt,Backhand,,,,,,,,,,-101.0,-485.0,,,,,1.0,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Jo-Yee Chan,,,,Elise Wagle,1,,,Long
0-0,5-3,0-0,1.0,1987641,,,43,,1,Deuce,Jo-Yee Chan,Far,1.0,T,42.0,-226.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Jo-Yee Chan,,,,,0,1st Serve In,T,
0-0,5-3,0-0,,1988650,,,43,,2,Deuce,Jo-Yee Chan,Far,,,,,,,,,,96.0,-491.0,Down the Line,Backhand,,,,,,,,,,59.0,218.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Elise Wagle,,1,,,0,,,Short
0-0,5-3,0-0,,1989854,,,43,,3,Ad,Jo-Yee Chan,Far,,,,,,,,,,48.0,466.0,Crosscourt,Backhand,,,,,,,,,,-69.0,-352.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Jo-Yee Chan,,,,,0,,,Deep
0-0,5-3,0-0,,1991029,,,43,,4,Ad,Jo-Yee Chan,Far,,,,,,,,,,-115.0,-502.0,Crosscourt,Backhand,,,,,,,,,1.0,69.0,261.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Elise Wagle,,,,,0,,,Short
0-0,5-3,0-0,,1993374,1.0,,43,,5,Ad,Jo-Yee Chan,Far,,,,,,,,,,96.0,349.0,Down the Line,Backhand,,,,,,,,,,147.0,13.0,,,,1.0,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Jo-Yee Chan,,,,Elise Wagle,1,,,
15-0,5-3,0-0,1.0,2017074,,,44,,1,Ad,Jo-Yee Chan,Far,1.0,Wide,-117.0,-231.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Jo-Yee Chan,,,,,0,1st Serve In,Wide,
15-0,5-3,0-0,,2018890,,,44,,2,Ad,Jo-Yee Chan,Far,,,,,,,,,,-200.0,-504.0,Down the Line,Backhand,,,,,,,,,,-32.0,205.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Elise Wagle,,,,,0,,,Short
15-0,5-3,0-0,,2020488,,,44,,3,Ad,Jo-Yee Chan,Far,,,,,,,,,,16.0,282.0,Crosscourt,Forehand,,,,1.0,1.0,,,,,-96.0,-118.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Jo-Yee Chan,1,,,,0,,,Short
15-0,5-3,0-0,,2022831,,,44,,4,Ad,Jo-Yee Chan,Far,,,,,,,,,,-139.0,-115.0,Crosscourt,Backhand,,,,1.0,,,,1.0,,45.0,32.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Elise Wagle,,,,,0,,,Short
15-0,5-3,0-0,,2024129,1.0,,44,,5,Ad,Jo-Yee Chan,Far,,,,,,,,,,120.0,90.0,Down the Line,Backhand,1.0,,,,,,1.0,1.0,,51.0,-267.0,1.0,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Jo-Yee Chan,,,,Jo-Yee Chan,0,,,Short
15-15,5-3,0-0,1.0,2055600,,,45,,1,Deuce,Jo-Yee Chan,Far,1.0,Body,85.0,-207.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Jo-Yee Chan,,,,,0,1st Serve In,Body,
