isErrorWideL,shotDirection,isSlice,secondServeZone,pointNumber,clientTeam,Event,secondServeXCoord,firstServeYCoord,firstServeIn,lineupPosition,shotInRally,Date,Surface,firstServeZone,isErrorLong,isErrorNet,player1Hand,player2Hand,shotLocationY,isExcitingPoint,isOverhead,pointScore,setScore,isApproach,player1Name,matchDetails,gameScore,serverName,isDropshot,shotFhBh,isBreakPoint,isLob,pointStartTime,shotLocationX,isLet,isVolley,isErrorWideR,matchVenue,pointEndTime,firstServeXCoord,isAce,serverFarNear,secondServeIn,Division,side,Notes,atNetPlayer2,shotContactX,atNetPlayer1,isPointEnd,Round,isPointStart,player2Name,isWinner,opponentTeam,secondServeYCoord,shotContactY,player1,player2,returnerName,shotHitBy,pointWonBy
,Down the Line,,,36,,,,,,,4.0,,,,,,,,346.0,,,0-0,0-0,,,,4-2,Rudy Quan,,Forehand,,,1683656,-76.0,,,,,,,,Far,,,Ad,,,-28.0,,,,,,,,,-525.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
,Crosscourt,,,36,,,,,,,5.0,,,,,,,,-278.0,,,0-0,0-0,,,,4-2,Rudy Quan,,Forehand,,,1684980,60.0,,,,,,,,Far,,,Deuce,,,-111.0,,,,,,,,,548.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Down the Line,,,36,,,,,,,6.0,,,,,,,,346.0,,,0-0,0-0,,,,4-2,Rudy Quan,,Forehand,,,1686147,62.0,,,,,,,,Far,,,Deuce,,,137.0,,,,,,,,,-538.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
,Down the Line,,,36,,,,,,,7.0,,,,,,,,-284.0,,,0-0,0-0,,,,4-2,Rudy Quan,,Backhand,,,1687465,25.0,,,,,,,,Far,,,Ad,,,30.0,,,,,,,,,582.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Crosscourt,,,36,,,,,,,8.0,,,,,,,,327.0,,,0-0,0-0,,,,4-2,Rudy Quan,,Forehand,,,1688820,-82.0,,,,,,,,Far,,,Deuce,,,14.0,,,,,,,,,-552.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
1.0,Crosscourt,,,36,,,,,,,9.0,,,,,,,,-137.0,,,0-0,0-0,,,,4-2,Rudy Quan,,Forehand,,,1690284,177.0,,,,,1691775.0,,,Far,,,Deuce,,,-170.0,,1.0,,,,,,,518.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,,,,37,,,,-118.0,1.0,,1.0,,,Body,,,,,,,,0-15,0-0,,,,4-2,Rudy Quan,,,,,1716928,,,,,,,-76.0,,Far,,,Ad,,,,,,,1.0,,,,,,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Crosscourt,,,37,,,,,,,2.0,,,,,,,,359.0,,,0-15,0-0,,,,4-2,Rudy Quan,,Forehand,,,1719366,86.0,,,,,,,,Far,,,Ad,,,-95.0,,,,,,,,,-552.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
,Down the Line,,,37,,,,,,,3.0,,,,,,,,-284.0,,,0-15,0-0,,,,4-2,Rudy Quan,,Backhand,,,1720847,30.0,,,,,,,,Far,,,Ad,,,124.0,,,,,,,,,553.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Down the Line,,,37,,,,,,,4.0,,,,,,,,354.0,,,0-15,0-0,,,,4-2,Rudy Quan,,Forehand,,,1722437,-50.0,,,,,,,,Far,,,Ad,,,-20.0,,,,,,,,,-536.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
,Down the Line,,,37,,,,,,,5.0,,,,,,,,-297.0,,,0-15,0-0,,,,4-2,Rudy Quan,,Forehand,,,1723657,-18.0,,,,,,,,Far,,,Deuce,,,-108.0,,,,,,,,,553.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Down the Line,,,37,,,,,,,6.0,,,,,,,,175.0,,,0-15,0-0,,,,4-2,Rudy Quan,,Forehand,,,1725362,124.0,,,,,,,,Far,,,Deuce,,,46.0,,,,,,,,,-544.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
,Crosscourt,,,37,,,,,,,7.0,,,,,,,,-300.0,,,0-15,0-0,,,,4-2,Rudy Quan,,Backhand,,,1726613,-31.0,,,,,,,,Far,,,Ad,,,156.0,,,,,,,,,521.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Crosscourt,,,37,,,,,,,8.0,,,,,,,,151.0,,,0-15,0-0,,,,4-2,Rudy Quan,1.0,Forehand,,,1728198,94.0,,,,,,,,Far,,,Ad,,,-103.0,,,,,,,,,-584.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
,Crosscourt,1.0,,37,,,,,,,9.0,,,,,,,,-68.0,,,0-15,0-0,,,,4-2,Rudy Quan,,Backhand,,,1729995,-55.0,,,,,,,,Far,,,Ad,,,76.0,,,,,,,,,105.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Down the Line,,,37,,,,,,,10.0,,,,,,,,316.0,,,0-15,0-0,,,,4-2,Rudy Quan,,Backhand,,,1731657,-2.0,,1.0,,,1732808.0,,,Far,,,Ad,,,-76.0,,1.0,,,,1.0,,,-85.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
,,,Body,38,,,54.0,-286.0,0.0,,1.0,,,T,,,,,,,,0-30,0-0,,,,4-2,Rudy Quan,,,,,1764884,,,,,,,22.0,,Far,1.0,,Deuce,,,,,,,1.0,,,,-99.0,,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Down the Line,,,38,,,,,,,2.0,,,,,,,,364.0,,,0-30,0-0,,,,4-2,Rudy Quan,,Forehand,,,1784364,78.0,,,,,,,,Far,,,Deuce,,,100.0,,,,,,,,,-520.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,38,,,,,,,3.0,,,,,,,,-97.0,,,0-30,0-0,,,,4-2,Rudy Quan,,Backhand,,,1785978,-31.0,,,,,,,,Far,,,Ad,,,92.0,,,,,,,,,574.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Down the Line,1.0,,38,,,,,,,4.0,,,,,,,,340.0,,,0-30,0-0,,,,4-2,Rudy Quan,,Backhand,,,1787234,102.0,,,,,,,,Far,,,Deuce,,,9.0,,,,,,,,,-544.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,38,,,,,,,5.0,,,,,,,,-134.0,,,0-30,0-0,,,,4-2,Rudy Quan,,Forehand,,,1788968,-39.0,,,,,,,,Far,,,Ad,,,44.0,,,,,,,,,545.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Down the Line,,,38,,,,,,,6.0,,,,,,,,188.0,,,0-30,0-0,,,,4-2,Rudy Quan,,Backhand,,,1790351,-20.0,,,,,,,,Far,,,Ad,,,-47.0,,,,,,,,,-546.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Down the Line,,,38,,,,,,,7.0,,,,,,,,-313.0,,,0-30,0-0,,,,4-2,Rudy Quan,,Forehand,,,1791712,81.0,,,,,,,,Far,,,Ad,,,110.0,,,,,,,,,516.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Down the Line,,,38,,,,,,,8.0,,,,,,,,196.0,,,0-30,0-0,,,,4-2,Rudy Quan,,Forehand,,,1793046,65.0,,,,,,,,Far,,,Deuce,,,156.0,,,,,,,,,-512.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Down the Line,,,38,,,,,,,9.0,,,,,,,,-105.0,,,0-30,0-0,,,,4-2,Rudy Quan,,Backhand,,,1794333,116.0,,,,,,,,Far,,,Ad,,,41.0,,,,,,,,,574.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Down the Line,1.0,,38,,,,,,,10.0,,,,,1.0,,,-1.0,,,0-30,0-0,,,,4-2,Rudy Quan,,Forehand,,,1795532,156.0,,,,,1797477.0,,,Far,,,Deuce,,,110.0,,1.0,,,,,,,-530.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,,,Body,39,,,-79.0,-1.0,0.0,,1.0,,,Wide,,,,,,,,15-30,0-0,,,,4-2,Rudy Quan,,,,,1821660,,,,,,,-127.0,,Far,1.0,,Ad,,,,,,,1.0,,,,-83.0,,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Crosscourt,,,39,,,,,,,2.0,,,,,,,,396.0,,,15-30,0-0,,,,4-2,Rudy Quan,,Forehand,,,1833353,57.0,,,,,,,,Far,,,Ad,,,-50.0,,,,,,,,,-570.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,39,,,,,,,3.0,,,,,,,,-292.0,,,15-30,0-0,,,,4-2,Rudy Quan,,Backhand,,,1834935,-58.0,,,,,,,,Far,,,Ad,,,212.0,,,,,,,,,524.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Crosscourt,,,39,,,,,,,4.0,,,,,,,,143.0,,,15-30,0-0,,,,4-2,Rudy Quan,,Forehand,,,1836354,60.0,,,,,,,,Far,,,Ad,,,-116.0,,,,,,,,,-586.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Down the Line,,,39,,,,,,,5.0,,,,,,,,-297.0,,,15-30,0-0,,,,4-2,Rudy Quan,,Backhand,,,1837539,116.0,,,,,,,,Far,,,Ad,,,84.0,,,,,,,,,342.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Down the Line,1.0,,39,,,,,,,6.0,,,,,,,,119.0,,,15-30,0-0,,,,4-2,Rudy Quan,,Forehand,,,1839968,60.0,,,,,,,,Far,,,Deuce,,,249.0,,,,,,,,,-431.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,39,,,,,,,7.0,,,,,,,,-134.0,,,15-30,0-0,,,,4-2,Rudy Quan,,Forehand,,,1842202,-31.0,,,,,1842212.0,,,Far,,,Ad,,,25.0,,1.0,,,,1.0,,,115.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,,,Body,40,,,81.0,-1.0,0.0,,1.0,,,T,,,,,,,,30-30,0-0,,,,4-2,Rudy Quan,,,,,1875104,,,,,,,36.0,,Far,1.0,,Deuce,,,,,,,1.0,,,,-110.0,,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Crosscourt,,,40,,,,,,,2.0,,,,,,,,186.0,,,30-30,0-0,,,,4-2,Rudy Quan,,Forehand,,,1891981,-116.0,,,,,,,,Far,,,Deuce,,,100.0,,,,,,,,,-562.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
,Crosscourt,,,40,,,,,,,3.0,,,,,,,,-278.0,,,30-30,0-0,,,,4-2,Rudy Quan,,Forehand,,,1893370,57.0,,,,,,,,Far,,,Deuce,,,-133.0,,,,,,,,,537.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Down the Line,,,40,,,,,,,4.0,,,,,,,,375.0,,,30-30,0-0,1.0,,,4-2,Rudy Quan,,Forehand,,,1895012,92.0,,,,,,,,Far,,,Deuce,,,76.0,,,,,,,,,-317.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
,Down the Line,1.0,,40,,,,,,,5.0,,,,,,,,-57.0,,,30-30,0-0,,,,4-2,Rudy Quan,,Backhand,,,1896038,49.0,,,,,,,,Far,,,Ad,,,102.0,,,,,,,,,558.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Down the Line,,,40,,,,,,,6.0,,,,,,,,87.0,,1.0,30-30,0-0,,,,4-2,Rudy Quan,,Forehand,,,1900601,118.0,,,,,1900611.0,,,Far,,,Deuce,,,46.0,,1.0,,,,1.0,,,-74.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
,,,,41,,,,-89.0,1.0,,1.0,,,T,,,,,,,,30-40,0-0,,,,4-2,Rudy Quan,,,1.0,,1931849,,,,,,,-26.0,,Far,,,Ad,,,,,,,1.0,,,,,,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,
,,,,42,,,,-156.0,1.0,,1.0,,,T,,,,,,,,40-30,0-0,,,,4-2,Rudy Quan,,,,,1931861,,,,,,,-39.0,,Far,,,Ad,,,,,,,1.0,,,,,,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,
,Crosscourt,,,42,,,,,,,2.0,,,,,,,,370.0,,,40-30,0-0,,,,4-2,Rudy Quan,,Forehand,,,1934445,6.0,,,,,,,,Far,,,Ad,,,-4.0,,,,,,,,,-562.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,
,Crosscourt,,,43,,,,,,,2.0,,,,,,,,388.0,,,30-40,0-0,,,,4-2,Rudy Quan,,Forehand,,,1934665,-28.0,,,,,,,,Far,,,Deuce,,,1.0,,,,,,,,,-522.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,
,Down the Line,,,43,,,,,,,3.0,,,,,,,,-305.0,,,30-40,0-0,,,,4-2,Rudy Quan,,Forehand,,,1936048,52.0,,,,,,,,Far,,,Ad,,,54.0,,,,,,,,,529.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,
,Crosscourt,,,44,,,,,,,3.0,,,,,,,,-289.0,,,40-30,0-0,,,,4-2,Rudy Quan,,Forehand,,,1936073,100.0,,,,,,,,Far,,,Deuce,,,-34.0,,,,,,,,,540.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Down the Line,,,44,,,,,,,4.0,,,,,,,,162.0,,,40-30,0-0,,,,4-2,Rudy Quan,,Forehand,,,1937522,97.0,,,,,,,,Far,,,Deuce,,,62.0,,,,,,,,,-488.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,44,,,,,,,5.0,,,,,,,,-92.0,,,40-30,0-0,,,,4-2,Rudy Quan,,Backhand,,,1938711,-55.0,,,,,,,,Far,,,Ad,,,198.0,,,,,,,,,529.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Down the Line,,,44,,,,,,,6.0,,,,,1.0,,,-1.0,,,40-30,0-0,,,,4-2,Rudy Quan,,Forehand,,,1940233,-76.0,,,,,1941172.0,,,Far,,,Ad,,,-42.0,,1.0,,,,,,,-338.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,,,,45,,,,-129.0,1.0,,1.0,,,Wide,,,,,,,,0-0,0-0,,,,5-2,Aristotelis Thanos,,,,,2081413,,,,,,,116.0,,Far,,,Deuce,,,,,,,1.0,,,,,,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos
,Crosscourt,,,45,,,,,,,2.0,,,,,,,,178.0,,,0-0,0-0,,,,5-2,Aristotelis Thanos,,Forehand,,,2083717,-47.0,,,,,,,,Far,,,Deuce,,,241.0,,,,,,,,,-549.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Rudy Quan,Aristotelis Thanos
,Crosscourt,,,45,,,,,,,3.0,,,,,,,,-110.0,,,0-0,0-0,,,,5-2,Aristotelis Thanos,,Forehand,,,2085073,44.0,,,,,,,,Far,,,Deuce,,,-63.0,,,,,,,,,374.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos
,Down the Line,1.0,,45,,,,,,,4.0,,,,,,,,354.0,,,0-0,0-0,,,,5-2,Aristotelis Thanos,,Forehand,,,2086085,57.0,,,,,,,,Far,,,Deuce,,,60.0,,,,,,,,,-528.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Rudy Quan,Aristotelis Thanos
,Down the Line,,,45,,,,,,,5.0,,,,,,,,-313.0,,,0-0,0-0,,,,5-2,Aristotelis Thanos,,Forehand,,,2087939,121.0,,,,,2089453.0,,,Far,,,Ad,,,81.0,,1.0,,,,1.0,,,505.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos
,,,,46,,,,-126.0,1.0,,1.0,,,T,,,,,,,,15-0,0-0,,,,5-2,Aristotelis Thanos,,,,,2117541,,,,,,,-44.0,,Far,,,Ad,,,,,,,1.0,,,,,,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Rudy Quan
,Down the Line,,,46,,,,,,,2.0,,,,,,,,159.0,,,15-0,0-0,,,,5-2,Aristotelis Thanos,,Forehand,,,2120020,-50.0,,,,,,,,Far,,,Ad,,,-4.0,,,,,,,,,-517.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Rudy Quan,Rudy Quan
,Crosscourt,,,46,,,,,,,3.0,,,,,,,,-305.0,,,15-0,0-0,,,,5-2,Aristotelis Thanos,,Forehand,,,2121274,70.0,,,,,,,,Far,,,Deuce,,,-18.0,,,,,,,,,307.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Rudy Quan
,Down the Line,,,46,,,,,,,4.0,,,,,,,,338.0,,,15-0,0-0,,,,5-2,Aristotelis Thanos,,Forehand,,,2122474,30.0,,,,,,,,Far,,,Deuce,,,118.0,,,,,,,,,-552.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Rudy Quan,Rudy Quan
,Down the Line,,,46,,,,,,,5.0,,,,,,,,-132.0,,,15-0,0-0,,,,5-2,Aristotelis Thanos,,Forehand,,,2123696,-31.0,,,,,,,,Far,,,Deuce,,,-36.0,,,,,,,,,534.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,46,,,,,,,6.0,,,,,,,,356.0,,,15-0,0-0,,,,5-2,Aristotelis Thanos,,Backhand,,,2125436,92.0,,,,,,,,Far,,,Ad,,,-28.0,,,,,,,,,-560.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Rudy Quan,Rudy Quan
,Crosscourt,,,46,,,,,,,7.0,,,,,,,,-121.0,,,15-0,0-0,,,,5-2,Aristotelis Thanos,,Forehand,,,2126578,-95.0,,,,,,,,Far,,,Ad,,,193.0,,,,,,,,,526.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Rudy Quan
,Down the Line,,,46,,,,,,,8.0,,,,,,,,306.0,,,15-0,0-0,,,,5-2,Aristotelis Thanos,,Backhand,,,2127654,-82.0,,,,,,,,Far,,,Ad,,,-178.0,,,,,,,,,-330.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Rudy Quan,Rudy Quan
,Down the Line,,,46,,,,,,,9.0,,,,,,,,-124.0,,,15-0,0-0,,,,5-2,Aristotelis Thanos,,Forehand,,,2128957,28.0,,,,,,,,Far,,,Ad,,,4.0,,,,,,,,,505.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,46,,,,,,,10.0,,,,,,,,162.0,,,15-0,0-0,,,,5-2,Aristotelis Thanos,,Forehand,,,2130180,-87.0,,,,,,,,Far,,,Deuce,,,177.0,,,,,,,,,-493.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Rudy Quan,Rudy Quan
,Crosscourt,,,46,,,,,,,11.0,,,,,1.0,,,2.0,,,15-0,0-0,,,,5-2,Aristotelis Thanos,,Forehand,,,2131375,62.0,,,,,2132758.0,,,Far,,,Deuce,,,-47.0,,1.0,,,,,,,518.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Rudy Quan
,,,,47,,,,-188.0,1.0,,1.0,,,Wide,,,,,,,,15-15,0-0,,,,5-2,Aristotelis Thanos,,,,,2159192,,,,,,,121.0,,Far,,,Deuce,,,,,,,1.0,,,,,,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos
,Crosscourt,,,47,,,,,,,2.0,,,,,,,,364.0,,,15-15,0-0,,,,5-2,Aristotelis Thanos,,Forehand,,,2163789,-18.0,,,,,,,,Far,,,Deuce,,,166.0,,,,,,,,,-544.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Rudy Quan,Aristotelis Thanos
,Crosscourt,,,47,,,,,,,3.0,,,,,,,,-297.0,,,15-15,0-0,,,,5-2,Aristotelis Thanos,,Forehand,,,2164694,116.0,,,,,,,,Far,,,Deuce,,,-23.0,,,,,,,,,529.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos
,Down the Line,,,47,,,,,,,4.0,,,,,,,,386.0,,,15-15,0-0,,,,5-2,Aristotelis Thanos,,Forehand,,,2165730,89.0,,,,,,,,Far,,,Deuce,,,214.0,,,,,,,,,-482.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Rudy Quan,Aristotelis Thanos
,Crosscourt,,,47,,,,,,,5.0,,,,,,,,-289.0,,,15-15,0-0,,,,5-2,Aristotelis Thanos,,Forehand,,,2166917,-100.0,,,,,2168631.0,,,Far,,,Ad,,,86.0,,1.0,,,,1.0,,,561.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos
,,,Body,48,,,-71.0,-169.0,0.0,,1.0,,,Wide,,,,,,,,30-15,0-0,,,,5-2,Aristotelis Thanos,,,,,2192740,,,,,,,-186.0,,Far,1.0,,Ad,,,,,,,1.0,,,,-121.0,,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos
,Down the Line,,,48,,,,,,,2.0,,,,,,,,354.0,,,30-15,0-0,,,,5-2,Aristotelis Thanos,,Backhand,,,2208167,-50.0,,,,,,,,Far,,,Ad,,,-20.0,,,,,,,,,-533.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Rudy Quan,Aristotelis Thanos
,Down the Line,,,48,,,,,,,3.0,,,,,,,,-337.0,,,30-15,0-0,,,,5-2,Aristotelis Thanos,,Forehand,,,2210045,102.0,,,,,,,,Far,,,Ad,,,86.0,,,,,,,,,532.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos
,Down the Line,,,48,,,,,,,4.0,,,,,,,,375.0,,,30-15,0-0,,,,5-2,Aristotelis Thanos,,Forehand,,,2211339,84.0,,,,,,,,Far,,,Deuce,,,249.0,,,,,,,,,-549.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Rudy Quan,Aristotelis Thanos
,Crosscourt,,,48,,,,,,,5.0,,,,,,,,-292.0,,,30-15,0-0,,,,5-2,Aristotelis Thanos,,Backhand,,,2212670,-122.0,,,,,2214155.0,,,Far,,,Ad,,,57.0,,1.0,,,,1.0,,,518.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos
,,,,49,,,,-121.0,1.0,,1.0,,,Wide,,,,,,,,40-15,0-0,,,,5-2,Aristotelis Thanos,,,,,2239002,,,,,,2242403.0,121.0,1.0,Far,,,Deuce,,,,,1.0,,1.0,,1.0,,,,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos
,,,,50,,,,159.0,1.0,,1.0,,,T,,,,,,,,0-0,0-0,,,,5-3,Rudy Quan,,,,,2277684,,,,,,,-36.0,,Near,,,Deuce,,,,,,,1.0,,,,,,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Down the Line,,,50,,,,,,,2.0,,,,1.0,,,,-502.0,,,0-0,0-0,,,,5-3,Rudy Quan,,Forehand,,,2281006,-92.0,,,,,2282816.0,,,Near,,,Deuce,,,-98.0,,1.0,,,,,,,526.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,,,,51,,,,133.0,1.0,,1.0,,,Body,,,,,,,,15-0,0-0,,,,5-3,Rudy Quan,,,,,2312747,,,,,,,97.0,,Near,,,Ad,,,,,,,1.0,,,,,,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Down the Line,,,51,,,,,,,2.0,,,,,,,,-62.0,,,15-0,0-0,,,,5-3,Rudy Quan,,Backhand,,,2315744,28.0,,,,,,,,Near,,,Ad,,,201.0,,,,,,,,,545.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,51,,,,,,,3.0,,,,,,,,426.0,,,15-0,0-0,,,,5-3,Rudy Quan,,Forehand,,,2317182,-138.0,,,,,,,,Near,,,Deuce,,,17.0,,,,,,,,,-317.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Crosscourt,,,51,,,,,,,4.0,,,,,,,,-278.0,,,15-0,0-0,,,,5-3,Rudy Quan,,Forehand,,,2319132,92.0,,,,,,,,Near,,,Deuce,,,-138.0,,,,,,,,,564.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Down the Line,,,51,,,,,,,5.0,,,,,,,,375.0,,,15-0,0-0,1.0,,,5-3,Rudy Quan,,Forehand,,,2320167,110.0,,,,,,,,Near,,,Deuce,,,238.0,,,,,,,,,-512.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Down the Line,,,51,,,,,,,6.0,,,,,1.0,,,383.0,,,15-0,0-0,,,,5-3,Rudy Quan,,Backhand,,,2321260,28.0,,,,,2325605.0,,,Near,,,Ad,,,140.0,,1.0,,,,,,,524.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,,,T,52,,,-50.0,-1.0,0.0,,1.0,,,T,,,,,,,,30-0,0-0,,,,5-3,Rudy Quan,,,,,2345772,,,,,,,-26.0,,Near,1.0,,Deuce,,,,,,,1.0,,,,149.0,,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Down the Line,,,52,,,,,,,2.0,,,,,,,,-126.0,,,30-0,0-0,,,,5-3,Rudy Quan,,Forehand,,,2362912,-50.0,,,,,,,,Near,,,Deuce,,,-63.0,,,,,,,,,564.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
