pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
15-0,0-1,0-0,,197630,,,6,,4,Ad,Savriyan Danilov,Near,,,,,,,,,,16.9797080052406,515.817629046103,Crosscourt,Forehand,,,,,,,,,,-41.39974846892,-493.873348643664,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,1.0,,,Kaylan Bigun,Kaylan Bigun,,,,,,,,Long
15-0,0-1,0-0,,198779,,,6,,5,Ad,Savriyan Danilov,Near,,,,,,,,,,-47.7830763341835,-526.105386045223,Down the Line,Backhand,,,,,,,,,,-9.04204943131641,247.805779746154,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,1.0,,,,Kaylan Bigun,Savriyan Danilov,,,,,,,,Short
15-0,0-1,0-0,,200830,1.0,200830.0,6,,6,Ad,Savriyan Danilov,Near,,,,,,,,,,27.0641404199335,383.997194881691,Down the Line,Forehand,,,,,,,,,,135.612674978058,-333.837877296415,1.0,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,1.0,,,Kaylan Bigun,Kaylan Bigun,,,,Kaylan Bigun,,,,Short
30-0,0-1,0-0,1.0,226130,,,7,,1,Deuce,Savriyan Danilov,Near,1.0,Body,-104.374332895834,175.609820647328,,,,,,48.9799431320832,-451.30666557282,,,1.0,,,,,,,,,,,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,,,,Kaylan Bigun,Savriyan Danilov,,,,,,1st Serve In,Body,
30-0,0-1,0-0,,226979,,,7,,2,Deuce,Savriyan Danilov,Near,,,,,,,,,,-167.203505030535,522.194258529914,Crosscourt,Backhand,,,,,,,,,,44.8106408573697,-298.704598643765,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,1.0,,,,Kaylan Bigun,Kaylan Bigun,,,,,,,,Short
30-0,0-1,0-0,,228070,,,7,,3,Deuce,Savriyan Danilov,Near,,,,,,,,,,78.4004975940102,-465.08776246695106,Down the Line,Forehand,,,,,,,,,,69.7472222221862,231.466130796031,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,1.0,,,,Kaylan Bigun,Savriyan Danilov,,,,,,,,Short
30-0,0-1,0-0,,229470,,,7,,4,Ad,Savriyan Danilov,Near,,,,,,,,,,52.5481900699641,503.238374890379,Crosscourt,Forehand,,,,,,,,,,-76.3243055555161,-323.122533901845,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,1.0,,,Kaylan Bigun,Kaylan Bigun,,,,,,,,Short
30-0,0-1,0-0,,230580,,,7,,5,Ad,Savriyan Danilov,Near,,,,,,,,,,-99.5463692037981,-512.234071522045,Down the Line,Backhand,,,,,,,,,,-0.380391513560608,351.984328521253,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,1.0,,,,Kaylan Bigun,Savriyan Danilov,,,,,,,,Deep
30-0,0-1,0-0,,231869,,,7,,6,Ad,Savriyan Danilov,Near,,,,,,,,,,40.3941874452985,536.249835957728,Crosscourt,Forehand,,,,,,,,,,-40.6117125984042,-306.32693569538,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,1.0,,,,Kaylan Bigun,Kaylan Bigun,,,,,,,,Short
30-0,0-1,0-0,,233179,,,7,,7,Ad,Savriyan Danilov,Near,,,,,,,,,,-49.2078794837891,-518.995379483547,Down the Line,Backhand,,,,,,,,,,-46.6475284339217,186.68959426937,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,1.0,,,,Kaylan Bigun,Savriyan Danilov,,,,,,,,Short
30-0,0-1,0-0,,234330,,,7,,8,Deuce,Savriyan Danilov,Near,,,,,,,,,,-24.9002569991122,481.402837926261,Down the Line,Backhand,,,,,,,,,,-36.4866579177414,-381.526257655096,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,1.0,,,Kaylan Bigun,Kaylan Bigun,,,,,,,,Deep
30-0,0-1,0-0,,235929,,,7,,9,Ad,Savriyan Danilov,Near,,,,,,,,,,-30.9815069991091,-490.69770341182,Down the Line,Forehand,,,,,,,,,,-46.5150153105622,360.717831364643,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,1.0,,,,Kaylan Bigun,Savriyan Danilov,,1.0,,,,,,Deep
30-0,0-1,0-0,,237179,1.0,237179.0,7,,10,Deuce,Savriyan Danilov,Near,,,,,,,,,,-45.0530074365472,517.76195866115,Crosscourt,Backhand,,,,,,,,,,180.349595362986,-482.52085520535,,,1.0,,1.0,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,1.0,,,,Kaylan Bigun,Kaylan Bigun,,,,Savriyan Danilov,1,,,
40-0,0-1,0-0,1.0,265570,,,8,,1,Ad,Savriyan Danilov,Near,0.0,Body,74.6521981626911,250.989539588672,,,,,,-40.3448873578094,-449.046516841413,,,1.0,,,,,,,,,,,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,,,,Kaylan Bigun,Savriyan Danilov,,,,,,Double Fault,,
40-0,0-1,0-0,,266329,,,8,,2,Ad,Savriyan Danilov,Near,,,,,,,,,,86.9431539807075,541.048479877236,Down the Line,Backhand,,,,,,,,,,49.4097878389946,-436.641956473965,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,1.0,,,Kaylan Bigun,Kaylan Bigun,,1.0,,,,,,Deep
40-0,0-1,0-0,,267329,,,8,,3,Deuce,Savriyan Danilov,Near,,,,,,,,,,41.6067475940292,-441.36010498664893,Down the Line,Forehand,,,,,,,,,,38.9260170603473,330.927985564134,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,1.0,,,Kaylan Bigun,Savriyan Danilov,,,,,,,,Short
40-0,0-1,0-0,,268799,1.0,268799.0,8,,4,Ad,Savriyan Danilov,Near,,,,,,,,,,39.375114829376,472.224600830902,Crosscourt,Forehand,,,,,,,,,,-187.303548775056,-367.381496062802,,1.0,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,1.0,,,Kaylan Bigun,Kaylan Bigun,,,,Savriyan Danilov,1,,,
0-0,0-2,0-0,1.0,300579,,,9,,1,Deuce,Kaylan Bigun,Far,1.0,T,16.1279418197642,-175.278652668326,,,,,,-43.8965223096886,493.182956036491,,,,,,,,,,,,,,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,1.0,,,Savriyan Danilov,Kaylan Bigun,,,,,,1st Serve In,T,
0-0,0-2,0-0,,301670,1.0,301670.0,9,,2,Deuce,Kaylan Bigun,Far,,,,,,,,,,22.1372320647305,-444.684262904407,Crosscourt,Backhand,,,,,,,,,,-22.3317147856403,-14.0006506999053,,,,1.0,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,1.0,,,Savriyan Danilov,Savriyan Danilov,1.0,,,Kaylan Bigun,1,,,
15-0,0-2,0-0,1.0,325600,,,10,,1,Ad,Kaylan Bigun,Far,0.0,Body,-53.5499234470415,5.92022090988318,1.0,Body,-104.253417541503,-170.55640857384,,52.8050251530786,453.77557414674703,,,1.0,,,,,,,,,,,,,,1.0,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,,,,Savriyan Danilov,Kaylan Bigun,,,,,,2nd Serve In,Body,
15-0,0-2,0-0,,338500,,,10,,2,Ad,Kaylan Bigun,Far,,,,,,,,,,-183.313763123265,-501.93042978976706,Crosscourt,Backhand,,,,,,,,,,39.726684164458895,379.941765091667,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,1.0,,,Savriyan Danilov,Savriyan Danilov,,,,,,,,Deep
15-0,0-2,0-0,,339670,,,10,,3,Ad,Kaylan Bigun,Far,,,,,,,,,,68.0079396325108,500.27979549405507,Crosscourt,Forehand,,,,,,,,,,-43.0384022309489,-281.799912510791,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,1.0,,,Savriyan Danilov,Kaylan Bigun,,,,,,,,Short
15-0,0-2,0-0,,341000,,,10,,4,Ad,Kaylan Bigun,Far,,,,,,,,,,-78.3640966753751,-508.649557086351,Crosscourt,Backhand,,,,,,,,,,30.0664698162574,332.449475065445,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,1.0,,,Savriyan Danilov,Savriyan Danilov,,,,,,,,Short
15-0,0-2,0-0,,342130,,,10,,5,Ad,Kaylan Bigun,Far,,,,,,,,,,32.326541994734,502.027805117851,Crosscourt,Forehand,,,,,,,,,,-74.5433398949746,-409.437877296376,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,1.0,,,Savriyan Danilov,Kaylan Bigun,,,,,,,,Deep
15-0,0-2,0-0,,343429,,,10,,6,Ad,Kaylan Bigun,Far,,,,,,,,,,-74.3813156167595,-527.842869641022,Down the Line,Backhand,,,,,,,,,,-42.2893318022529,248.856047681411,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,1.0,,,Savriyan Danilov,Savriyan Danilov,,,,,,,,Short
15-0,0-2,0-0,,344779,,,10,,7,Deuce,Kaylan Bigun,Far,,,,,,,,,,-59.785159667510705,476.025339019877,Crosscourt,Forehand,,,,,,,,,,123.099103237032,-356.245111548372,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,1.0,,,,Savriyan Danilov,Kaylan Bigun,1.0,,,,,,,Deep
15-0,0-2,0-0,,345829,,,10,,8,Deuce,Kaylan Bigun,Far,,,,,,,,,,173.364561460978,-506.415780839633,Crosscourt,Forehand,1.0,,,,,,,,,-40.3149934382994,390.372561242143,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,,,,Savriyan Danilov,Savriyan Danilov,,,,,,,,Deep
15-0,0-2,0-0,,347630,,,10,,9,Deuce,Kaylan Bigun,Far,,,,,,,,,,-43.220291994728306,475.027471565809,Down the Line,Forehand,,,,,,,,,,-77.5363298337307,-285.900623359432,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,1.0,,,,Savriyan Danilov,Kaylan Bigun,,1.0,,,,,,Short
15-0,0-2,0-0,,348679,1.0,348679.0,10,,10,Ad,Kaylan Bigun,Far,,,,,,,,,,-72.1129374452821,-514.537013341816,Crosscourt,Backhand,,,,,,,,,,112.171363735725,-311.583098206313,,,,1.0,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,1.0,,,,Savriyan Danilov,Savriyan Danilov,,,,Kaylan Bigun,1,,,
30-0,0-2,0-0,1.0,381230,,,11,,1,Deuce,Kaylan Bigun,Far,0.0,Body,89.2363353017912,197.773807961403,1.0,Wide,108.424748468885,-152.873370516107,,-57.3537620297167,458.121330927147,,,,,,,,,,,,,,,,,1.0,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,1.0,,,Savriyan Danilov,Kaylan Bigun,,,,,,2nd Serve In,Wide,
30-0,0-2,0-0,,391369,,,11,,2,Deuce,Kaylan Bigun,Far,,,,,,,,,,190.115184820549,-509.320505249081,Crosscourt,Forehand,,,,,,,,,,-52.9864938757382,365.843394575489,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,1.0,,,,Savriyan Danilov,Savriyan Danilov,,,,,,,,Deep
30-0,0-2,0-0,,392500,,,11,,3,Deuce,Kaylan Bigun,Far,,,,,,,,,,-80.8952810585759,537.740130139705,Crosscourt,Forehand,,,,,,,,,,1.44164479439996,-337.576148293789,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,1.0,,,Savriyan Danilov,Kaylan Bigun,1.0,,,,,,,Short
30-0,0-2,0-0,,393579,,,11,,4,Deuce,Kaylan Bigun,Far,,,,,,,,,,6.08419728783588,-502.039096675156,Down the Line,Backhand,,,,,,,,,,41.8380905511595,321.592202537017,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,1.0,,,,Savriyan Danilov,Savriyan Danilov,,1.0,,,,,,Short
30-0,0-2,0-0,,394799,,,11,,5,Ad,Kaylan Bigun,Far,,,,,,,,,,61.5936843831703,518.255342300695,Crosscourt,Forehand,,,,,,,,,,-143.72131452311,-300.906681977097,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,1.0,,,Savriyan Danilov,Kaylan Bigun,,,,,,,,Short
30-0,0-2,0-0,,396079,1.0,396079.0,11,,6,Ad,Kaylan Bigun,Far,,,,,,,,,,-190.715474628073,-531.900442913111,Down the Line,Backhand,1.0,,,,,,,,,-198.42814413813,467.493361767038,,,1.0,,1.0,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,,,,Savriyan Danilov,Savriyan Danilov,,,,Kaylan Bigun,1,,,
40-0,0-2,0-0,1.0,424399,,,12,,1,Ad,Kaylan Bigun,Far,0.0,T,-23.3468066491568,-292.536767278939,1.0,Wide,-109.169302274659,-234.350147637674,,55.0926181102078,467.41772747132495,,,,,,,,,,,,,,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,1.0,,,Savriyan Danilov,Kaylan Bigun,,,,,,2nd Serve In,Wide,
