pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
15-40,0-0,0-0,,186740,,,5,1.0,2,Deuce,Kaylan Bigun,Near,,,,,,,,,,-46.78042432,531.5611985999004,Down the Line,Backhand,,,,,,,,,,-101.5327647,-185.2101323,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,1.0,,,,Miguel Perez Pena,Miguel Perez Pena,,1.0,,,,,,Short
15-40,0-0,0-0,,188699,,,5,1.0,3,Ad,Kaylan Bigun,Near,,,,,,,,,,-105.0082677,-436.3974847,Crosscourt,Backhand,,,,,,,,,,94.0769685038884,312.01711504795776,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,,1.0,,,Miguel Perez Pena,Kaylan Bigun,1.0,,,,,,,Short
15-40,0-0,0-0,,189970,,,5,1.0,4,Ad,Kaylan Bigun,Near,,,,,,,,,,153.29766513552883,533.7957020994618,Down the Line,Backhand,,,,,,,,,,26.78525809272457,-199.2681977,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,,1.0,,,Miguel Perez Pena,Miguel Perez Pena,,,,,,,,Short
15-40,0-0,0-0,,191199,1.0,191199.0,5,1.0,5,Ad,Kaylan Bigun,Near,,,,,,,,,,-3.960504156,-474.7111166,Down the Line,Backhand,,,,,,,,,,-169.3097824,472.0423283024684,,,1.0,,1.0,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,1.0,,,,Miguel Perez Pena,Kaylan Bigun,,1.0,,Miguel Perez Pena,1,,,
0-0,0-1,0-0,1.0,246130,,,6,,1,Deuce,Miguel Perez Pena,Near,1.0,Wide,-124.3850394,244.7146872264703,,,,,,51.833989501285565,-454.0023239,,,1.0,,,,,,,,,,,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,,,,,Kaylan Bigun,Miguel Perez Pena,,,,,,1st Serve In,Wide,
0-0,0-1,0-0,,247070,,,6,,2,Deuce,Miguel Perez Pena,Near,,,,,,,,,,-147.9895997,363.1561570426821,Crosscourt,Forehand,,,,,,,,,,10.971145013117694,-394.3807962,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,1.0,,,,Kaylan Bigun,Kaylan Bigun,1.0,,,,,,,Deep
0-0,0-1,0-0,,248070,,,6,,3,Deuce,Miguel Perez Pena,Near,,,,,,,,,,4.776711504809431,-487.147523,Down the Line,Forehand,,,,,,,,,,55.51622375325216,477.99198381427624,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,,1.0,,,Kaylan Bigun,Miguel Perez Pena,,,,,,,,Long
0-0,0-1,0-0,,249529,,,6,,4,Ad,Miguel Perez Pena,Near,,,,,,,,,,45.35665463689695,531.5556485124113,Crosscourt,Backhand,,,,,,,,,,-88.99733705,-282.6099191,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,1.0,,,,Kaylan Bigun,Kaylan Bigun,1.0,,,,,,,Short
0-0,0-1,0-0,,251100,,,6,,5,Ad,Miguel Perez Pena,Near,,,,,,,,,,-114.4277996,-540.7490048,Crosscourt,Backhand,,,,,,,,,,21.068476596664528,319.9749070427044,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,1.0,,,,Kaylan Bigun,Miguel Perez Pena,,,,,,,,Short
0-0,0-1,0-0,,252229,,,6,,6,Ad,Miguel Perez Pena,Near,,,,,,,,,,58.17969160101982,502.3430500872296,Crosscourt,Backhand,,,,,,,,,,-149.8270615,-356.6763342,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,1.0,,,,Kaylan Bigun,Kaylan Bigun,1.0,,,,,,,Deep
