pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
15-0,1-0,0-0,,160000,,,6,,2,Ad,Thomas Paulsell,Near,,,,,,,,,,56.8630960192182,514.086001749516,Down the Line,Backhand,,,,,,,,,,64.1452701224516,-280.814140419802,,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,1.0,,,,Spencer Johnson,Spencer Johnson,,1.0,,,,,,Short
15-0,1-0,0-0,,160999,1.0,160999.0,6,,3,Deuce,Thomas Paulsell,Near,,,,,,,,,,54.6862368766122,-470.684126202732,Crosscourt,Forehand,,,,,,,,,,-56.1794400699622,-30.0958661417168,,,,1.0,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,1.0,,,,Spencer Johnson,Thomas Paulsell,,,,Spencer Johnson,1,,,
15-15,1-0,0-0,1.0,181999,,,7,,1,Deuce,Thomas Paulsell,Near,1.0,T,-21.3585356517825,181.54592629037,,,,,,38.4589293525611,-450.425503061885,,,1.0,,,,,,,,,,,,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,,,,Spencer Johnson,Thomas Paulsell,,,,,,1st Serve In,T,
15-15,1-0,0-0,,181999,,,7,,2,Deuce,Thomas Paulsell,Near,,,,,,,,,,-77.4899387576153,511.75561570402306,Down the Line,Forehand,,,,,,,,,,-45.8854822834409,-271.427028652528,,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,1.0,,,,Spencer Johnson,Spencer Johnson,,1.0,,,,,,Short
15-15,1-0,0-0,,183999,1.0,183999.0,7,,3,Ad,Thomas Paulsell,Near,,,,,,,,,,-51.3125874890374,-487.697594050492,Crosscourt,Forehand,,,,,,,,,,105.688134295658,-45.1553587051386,,,,1.0,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,1.0,,,Spencer Johnson,Thomas Paulsell,1.0,,,Spencer Johnson,1,,,
15-30,1-0,0-0,1.0,211000,,,8,,1,Ad,Thomas Paulsell,Near,0.0,Wide,131.8718394575,274.76316710397,1.0,Body,54.4143591425791,226.604177602683,,-16.5764654418112,-486.784049649792,,,1.0,,,,,,,,,,,,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,,,,Spencer Johnson,Thomas Paulsell,,,,,,2nd Serve In,Body,
15-30,1-0,0-0,,223999,1.0,223999.0,8,,2,Ad,Thomas Paulsell,Near,,,,,,,,,,73.3617454067863,484.422621390826,Crosscourt,Backhand,,,,,,,,,,-28.592902449679,223.531993656927,,,,1.0,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,1.0,,,,Spencer Johnson,Spencer Johnson,1.0,,,Thomas Paulsell,1,,,
30-30,1-0,0-0,1.0,246000,,,9,,1,Deuce,Thomas Paulsell,Near,1.0,Wide,-126.156742125919,180.456501530965,,,,,,21.7290135607937,-460.5508912946,,,,,,,,,,,,,,,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,1.0,,,Spencer Johnson,Thomas Paulsell,,,,,,1st Serve In,Wide,
30-30,1-0,0-0,,246999,,,9,,2,Deuce,Thomas Paulsell,Near,,,,,,,,,,-204.438774059387,500.55102252817505,Crosscourt,Backhand,,,,,,,,,,37.102181758511,-169.330681320997,,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,1.0,,,,Spencer Johnson,Spencer Johnson,,,,,,,,Short
30-30,1-0,0-0,,249000,1.0,249000.0,9,,3,Deuce,Thomas Paulsell,Near,,,,,,,,,,68.809525371793,-345.510515091685,Down the Line,Forehand,,,,,,,,,,125.3354822834,337.340097331409,1.0,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,1.0,,,,Spencer Johnson,Thomas Paulsell,,,,Thomas Paulsell,,,,Short
40-30,1-0,0-0,1.0,274999,1.0,274999.0,10,,1,Ad,Thomas Paulsell,Near,1.0,Wide,157.196161417242,232.943487532688,,,,,1,2.23224518810033,-463.69155183703106,,,,,,,,,,,,,,1.0,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,1.0,,,Spencer Johnson,Thomas Paulsell,,,,Thomas Paulsell,,1st Serve In,Wide,
0-0,1-1,0-0,1.0,312000,1.0,312000.0,11,,1,Deuce,Spencer Johnson,Far,1.0,T,28.0998632983232,-165.802088801314,,,,,1,-20.3075021872161,464.954407261352,,,,,,,,,,,,,,1.0,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,1.0,,,Thomas Paulsell,Spencer Johnson,,,,Spencer Johnson,,1st Serve In,T,
15-0,1-1,0-0,1.0,340999,,,12,,1,Ad,Spencer Johnson,Far,1.0,Wide,-130.32279090107,-184.486898512591,,,,,,27.2646325459177,441.102427821294,,,,,,,,,,,,,,,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,1.0,,,Thomas Paulsell,Spencer Johnson,,,,,,1st Serve In,Wide,
15-0,1-1,0-0,,341999,1.0,341999.0,12,,2,Ad,Spencer Johnson,Far,,,,,,,,,,-193.946084864292,-511.280260279701,Crosscourt,Backhand,1.0,,,,,,,,,89.8941163604085,-158.178105861686,,,,1.0,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,,,,Thomas Paulsell,Thomas Paulsell,,,,Spencer Johnson,1,,,
