pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
15-0,0-0,0-0,,541714,,,2,,14,Ad,Iiro Vasa,Near,,,,,,,,,,54.0,460.0,Crosscourt,Backhand,,,,,,,,,,0.0,-371.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,,,,,,,,Deep
15-0,0-0,0-0,,542704,1.0,543612.0,2,,15,Ad,Iiro Vasa,Near,,,,,,,,,,-24.0,-456.0,Crosscourt,Forehand,,,,,,,,,,59.0,-1.0,,,,1.0,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,1.0,,,Rudy Quan,1,,,
15-15,0-0,0-0,1.0,543602,1.0,587470.0,3,,1,Deuce,Iiro Vasa,Near,1.0,T,-13.0,241.0,,,,,1,,,,,,,,,,,,,,,,1.0,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,Iiro Vasa,,1st Serve In,T,
30-15,0-0,0-0,1.0,588867,,,4,,1,Ad,Iiro Vasa,Near,0.0,Wide,120.0,254.0,1.0,Body,102.0,201.0,,,,,,,,,,,,,,,,,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,,,2nd Serve In,Body,
30-15,0-0,0-0,,624326,,,4,,2,Ad,Iiro Vasa,Near,,,,,,,,,,168.0,442.0,Crosscourt,Backhand,1.0,,,,,,,,,-66.0,-198.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,,,,,,,,Short
30-15,0-0,0-0,,625495,,,4,,3,Ad,Iiro Vasa,Near,,,,,,,,,,-101.0,-395.0,Crosscourt,Backhand,1.0,,,,,,,,,38.0,215.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,,,,,Short
30-15,0-0,0-0,,627356,1.0,628275.0,4,,4,Ad,Iiro Vasa,Near,,,,,,,,,,38.0,383.0,Crosscourt,Backhand,,,,,,,,,,-50.0,2.0,,,,1.0,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,,,,Iiro Vasa,1,,,
40-15,0-0,0-0,1.0,628265,1.0,661979.0,5,,1,Deuce,Iiro Vasa,Near,1.0,Wide,-152.0,153.0,,,,,1,,,,,,,,,,,,,,,,1.0,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,Iiro Vasa,,1st Serve In,Wide,
0-0,0-1,0-0,1.0,727373,,,6,,1,Deuce,Rudy Quan,Near,1.0,T,-53.0,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,,,,,,1st Serve In,T,
0-0,0-1,0-0,,736697,,,6,,2,Deuce,Rudy Quan,Near,,,,,,,,,,-114.0,436.0,Down the Line,Backhand,,,,,,,,,,-32.0,-331.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,,1.0,,,,,,Short
0-0,0-1,0-0,,737955,,,6,,3,Ad,Rudy Quan,Near,,,,,,,,,,-26.0,-403.0,Crosscourt,Forehand,1.0,,,,,,,,,78.0,247.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,1.0,,,,,,,Short
0-0,0-1,0-0,,739402,,,6,,4,Ad,Rudy Quan,Near,,,,,,,,,,102.0,450.0,Crosscourt,Backhand,,,,,,,,,,-5.0,-299.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,,,,,,,,Short
0-0,0-1,0-0,,741006,,,6,,5,Ad,Rudy Quan,Near,,,,,,,,,,-45.0,-384.0,Crosscourt,Forehand,1.0,,,,,,,,,152.0,253.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,1.0,,,,,,,Short
0-0,0-1,0-0,,742288,1.0,742298.0,6,,6,Ad,Rudy Quan,Near,,,,,,,,,,208.0,482.0,Down the Line,Backhand,,,,,,,,,,331.0,-350.0,,,1.0,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,,,,Rudy Quan,1,,,
