pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
15-15,2-3,0-0,,2110166,,,32,,2,Deuce,Rudy Quan,Near,,,,,,,,,,-213.0,479.0,Crosscourt,Forehand,,,,,,,,,,19.0,-288.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,,,,,,,,Short
15-15,2-3,0-0,,2111370,,,32,,3,Deuce,Rudy Quan,Near,,,,,,,,,,96.0,-446.0,Down the Line,Forehand,1.0,,,,,,,,,107.0,364.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,,,,,,,,Deep
15-15,2-3,0-0,,2113283,,,32,,4,Ad,Rudy Quan,Near,,,,,,,,,,120.0,444.0,Down the Line,Backhand,,,,,,,,,,144.0,-392.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,,,,,,,,Deep
15-15,2-3,0-0,,2114292,,,32,,5,Deuce,Rudy Quan,Near,,,,,,,,,,160.0,-488.0,Crosscourt,Forehand,,,,,,,,,,-93.0,255.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,,,,,,,,Short
15-15,2-3,0-0,,2115903,,,32,,6,Deuce,Rudy Quan,Near,,,,,,,,,,-157.0,460.0,Crosscourt,Forehand,,,,,,,,,,117.0,-302.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,,,,,,,,Short
15-15,2-3,0-0,,2117114,,,32,,7,Deuce,Rudy Quan,Near,,,,,,,,,,211.0,-467.0,Down the Line,Forehand,1.0,,,,,,,,,123.0,349.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,,,,,,,,Short
15-15,2-3,0-0,,2118406,,,32,,8,Ad,Rudy Quan,Near,,,,,,,,,,107.0,466.0,Down the Line,Backhand,,,,,,,,,,40.0,-440.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,,,,,,,,Deep
15-15,2-3,0-0,,2120285,,,32,,9,Deuce,Rudy Quan,Near,,,,,,,,,,16.0,-496.0,Down the Line,Forehand,1.0,,,,,,,,,78.0,255.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,,,,,,,,Short
15-15,2-3,0-0,,2122080,,,32,,10,Ad,Rudy Quan,Near,,,,,,,,,,91.0,444.0,Crosscourt,Backhand,,,,,,,,,,-18.0,-379.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,,,,,,,,Deep
15-15,2-3,0-0,,2123706,,,32,,11,Ad,Rudy Quan,Near,,,,,,,,,,-34.0,-451.0,Crosscourt,Forehand,1.0,,,,,,,,,67.0,173.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,1.0,,,,,,,Short
15-15,2-3,0-0,,2125165,,,32,,12,Ad,Rudy Quan,Near,,,,,,,,,,78.0,447.0,Crosscourt,Backhand,,,,,,,,,,-37.0,-363.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,,,,,,,,Deep
15-15,2-3,0-0,,2126975,,,32,,13,Ad,Rudy Quan,Near,,,,,,,,,,-56.0,-448.0,Crosscourt,Forehand,1.0,,,,,,,,,59.0,266.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,1.0,,,,,,,Short
15-15,2-3,0-0,,2128912,1.0,2130579.0,32,,14,Ad,Rudy Quan,Near,,,,,,,,,,56.0,447.0,Down the Line,Backhand,,,,,,,,,,75.0,-469.0,,,,,1.0,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,,,,Rudy Quan,1,,,Long
30-15,2-3,0-0,1.0,2130569,,,33,,1,Ad,Rudy Quan,Near,1.0,Body,83.0,235.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,,,,,,1st Serve In,Body,
30-15,2-3,0-0,,2166603,,,33,,2,Ad,Rudy Quan,Near,,,,,,,,,,86.0,442.0,Crosscourt,Backhand,,,,,,,,,,-112.0,-222.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,,,,,,,,Short
30-15,2-3,0-0,,2167959,,,33,,3,Ad,Rudy Quan,Near,,,,,,,,,,-168.0,-344.0,Crosscourt,Backhand,1.0,,,,,,,,,104.0,327.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,,,,,,,,Short
30-15,2-3,0-0,,2169303,,,33,,4,Ad,Rudy Quan,Near,,,,,,,,,,181.0,474.0,Down the Line,Backhand,,,,,,,,,,83.0,-395.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,,,,,,,,Deep
30-15,2-3,0-0,,2171042,1.0,2173970.0,33,,5,Deuce,Rudy Quan,Near,,,,,,,,,,88.0,-451.0,Crosscourt,Forehand,,,,,,,,,,-165.0,338.0,,,1.0,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,,,,Iiro Vasa,1,,,
30-30,2-3,0-0,1.0,2173960,,,34,,1,Deuce,Rudy Quan,Near,1.0,T,-45.0,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,,,,,,1st Serve In,T,
30-30,2-3,0-0,,2199754,1.0,2201038.0,34,,2,Deuce,Rudy Quan,Near,,,,,,,,,,-64.0,450.0,Down the Line,Backhand,,,,,,,,,,-58.0,-472.0,,,,,1.0,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,,1.0,,Rudy Quan,1,,,Long
40-30,2-3,0-0,1.0,2201028,,,35,,1,Ad,Rudy Quan,Near,1.0,T,38.0,238.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,,,,,,1st Serve In,T,
40-30,2-3,0-0,,2222525,1.0,2222525.0,35,,2,Ad,Rudy Quan,Near,,,,,,,,,,-5.0,479.0,Down the Line,Forehand,,,,,,,,,,-160.0,-416.0,,1.0,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,,1.0,,Rudy Quan,1,,,
0-0,3-3,0-0,1.0,2228366,,,36,,1,Deuce,Iiro Vasa,Far,0.0,T,43.0,-263.0,1.0,Body,67.0,-199.0,,,,,,,,,,,,,,,,,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,,,2nd Serve In,Body,
0-0,3-3,0-0,,2274446,,,36,,2,Deuce,Iiro Vasa,Far,,,,,,,,,,165.0,-469.0,Crosscourt,Forehand,,,,,,,,,,-10.0,343.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,,,,,,,,Short
0-0,3-3,0-0,,2276422,,,36,,3,Deuce,Iiro Vasa,Far,,,,,,,,,,-26.0,463.0,Crosscourt,Forehand,,,,,,,,,,56.0,-307.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,,,,,Short
0-0,3-3,0-0,,2277378,,,36,,4,Deuce,Iiro Vasa,Far,,,,,,,,,,91.0,-454.0,Crosscourt,Forehand,,,,,,,,,,-90.0,338.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,,,,,,,,Short
0-0,3-3,0-0,,2278574,,,36,,5,Deuce,Iiro Vasa,Far,,,,,,,,,,-152.0,463.0,Crosscourt,Forehand,,,,,,,,,,80.0,-304.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,,,,,Short
0-0,3-3,0-0,,2279714,,,36,,6,Deuce,Iiro Vasa,Far,,,,,,,,,,120.0,-443.0,Down the Line,Forehand,,,,,,,,,,30.0,447.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,,,,,,,,Deep
0-0,3-3,0-0,,2281004,,,36,,7,Ad,Iiro Vasa,Far,,,,,,,,,,6.0,479.0,Crosscourt,Backhand,,,,,,,,,,-45.0,-307.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,,,,,Short
0-0,3-3,0-0,,2282568,,,36,,8,Ad,Iiro Vasa,Far,,,,,,,,,,-74.0,-459.0,Crosscourt,Forehand,1.0,,,,,,,,,128.0,311.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,1.0,,,,,,,Short
0-0,3-3,0-0,,2283888,,,36,,9,Ad,Iiro Vasa,Far,,,,,,,,,,152.0,474.0,Down the Line,Backhand,,,,,,,,,,70.0,-395.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,,,,,Deep
0-0,3-3,0-0,,2286452,1.0,2287633.0,36,,10,Deuce,Iiro Vasa,Far,,,,,,,,,,59.0,-411.0,Down the Line,Forehand,,,,,,,,,,99.0,295.0,1.0,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,,,,Rudy Quan,,,,Short
0-15,3-3,0-0,1.0,2287623,,,37,,1,Ad,Iiro Vasa,Far,0.0,Wide,-178.0,-410.0,1.0,Wide,-128.0,-170.0,,,,,,,,,,,,,,,,,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,,,2nd Serve In,Wide,
0-15,3-3,0-0,,2333747,,,37,,2,Ad,Iiro Vasa,Far,,,,,,,,,,-250.0,-446.0,Down the Line,Backhand,,,,,,,,,,-104.0,394.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,,,,,,,,Deep
0-15,3-3,0-0,,2335135,,,37,,3,Deuce,Iiro Vasa,Far,,,,,,,,,,-90.0,455.0,Crosscourt,Forehand,,,,,,,,,,102.0,-339.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,,,,,Short
0-15,3-3,0-0,,2336115,,,37,,4,Deuce,Iiro Vasa,Far,,,,,,,,,,171.0,-515.0,Down the Line,Forehand,,,,,,,,,,56.0,349.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,,,,,,,,Short
0-15,3-3,0-0,,2337493,,,37,,5,Ad,Iiro Vasa,Far,,,,,,,,,,35.0,428.0,Crosscourt,Forehand,1.0,,,,,,,,,-152.0,-406.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,1.0,,,,,,,Deep
0-15,3-3,0-0,,2339634,,,37,,6,Ad,Iiro Vasa,Far,,,,,,,,,,-216.0,-541.0,Down the Line,Backhand,,,,1.0,,,,,,-149.0,109.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,,,,,,,,Short
0-15,3-3,0-0,,2340385,1.0,2341310.0,37,,7,Deuce,Iiro Vasa,Far,,,,,,,,,,-106.0,255.0,Crosscourt,Forehand,,,,,,,,,,149.0,-326.0,1.0,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,Iiro Vasa,,,,Short
15-15,3-3,0-0,1.0,2341300,,,38,,1,Deuce,Iiro Vasa,Far,1.0,Body,96.0,-231.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,,,1st Serve In,Body,
15-15,3-3,0-0,,2372402,,,38,,2,Deuce,Iiro Vasa,Far,,,,,,,,,,184.0,-472.0,Down the Line,Forehand,,,,,,,,,,48.0,237.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,,,,,,,,Short
15-15,3-3,0-0,,2373796,,,38,,3,Deuce,Iiro Vasa,Far,,,,,,,,,,-5.0,447.0,Crosscourt,Forehand,,,,,,,,,,120.0,-275.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,,,,,Short
15-15,3-3,0-0,,2375239,,,38,,4,Deuce,Iiro Vasa,Far,,,,,,,,,,216.0,-507.0,Crosscourt,Forehand,,,,,,,,,,-61.0,380.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,,,,,,,,Deep
15-15,3-3,0-0,,2376487,,,38,,5,Deuce,Iiro Vasa,Far,,,,,,,,,,-106.0,466.0,Down the Line,Forehand,,,,,,,,,,-141.0,-347.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,,,,,Short
15-15,3-3,0-0,,2377830,,,38,,6,Ad,Iiro Vasa,Far,,,,,,,,,,-181.0,-531.0,Down the Line,Backhand,,,,,,,,,,-16.0,410.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,,,,,,,,Deep
15-15,3-3,0-0,,2380324,,,38,,7,Deuce,Iiro Vasa,Far,,,,,,,,,,-21.0,463.0,Down the Line,Forehand,,,,,,,,,,-114.0,-283.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,,,,,Short
15-15,3-3,0-0,,2381324,,,38,,8,Ad,Iiro Vasa,Far,,,,,,,,,,-213.0,-499.0,Crosscourt,Backhand,,,,,,,,,,59.0,370.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,,,,,,,,Deep
15-15,3-3,0-0,,2382814,,,38,,9,Ad,Iiro Vasa,Far,,,,,,,,,,78.0,450.0,Down the Line,Forehand,,,,,,,,,,86.0,-392.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,1.0,,,,,,Deep
15-15,3-3,0-0,,2383924,,,38,,10,Deuce,Iiro Vasa,Far,,,,,,,,,,72.0,-459.0,Crosscourt,Forehand,,,,,,,,,,-5.0,295.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,,,,,,,,Short
15-15,3-3,0-0,,2385270,1.0,2386285.0,38,,11,Deuce,Iiro Vasa,Far,,,,,,,,,,-37.0,460.0,Crosscourt,Forehand,,,,,,,,,,48.0,2.0,,,,1.0,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,Rudy Quan,1,,,
15-30,3-3,0-0,1.0,2386275,1.0,2435382.0,39,,1,Ad,Iiro Vasa,Far,0.0,Body,-98.0,1.0,0.0,Body,-90.0,3.0,,,,,,,,,,,,,,,,,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,1,Rudy Quan,,Double Fault,Body,
15-40,3-3,0-0,1.0,2438059,,,40,1.0,1,Deuce,Iiro Vasa,Far,1.0,Body,78.0,-242.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,,,1st Serve In,Body,
15-40,3-3,0-0,,2463786,,,40,,2,Deuce,Iiro Vasa,Far,,,,,,,,,,123.0,-477.0,Down the Line,Backhand,,,,,,,,,,11.0,370.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,,1.0,,,,,,Deep
15-40,3-3,0-0,,2465677,,,40,,3,Ad,Iiro Vasa,Far,,,,,,,,,,19.0,439.0,Crosscourt,Forehand,,,,,,,,,,-98.0,-352.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,1.0,,,,,,,Deep
15-40,3-3,0-0,,2466629,,,40,,4,Ad,Iiro Vasa,Far,,,,,,,,,,-165.0,-472.0,Crosscourt,Backhand,1.0,,,,,,,,,131.0,250.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,,,,,,,,Short
15-40,3-3,0-0,,2468762,,,40,,5,Ad,Iiro Vasa,Far,,,,,,,,,,189.0,442.0,Crosscourt,Backhand,1.0,,,,,,,,,-42.0,-315.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,,,,,Short
15-40,3-3,0-0,,2470015,1.0,2471644.0,40,,6,Ad,Iiro Vasa,Far,,,,,,,,,,-98.0,-366.0,Down the Line,Backhand,,,,,,,,,,-165.0,359.0,,,1.0,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,,,,Iiro Vasa,1,,,
30-40,3-3,0-0,1.0,2471634,,,41,1.0,1,Ad,Iiro Vasa,Far,1.0,Wide,-117.0,-231.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,,,1st Serve In,Wide,
30-40,3-3,0-0,,2496292,,,41,,2,Ad,Iiro Vasa,Far,,,,,,,,,,-240.0,-501.0,Down the Line,Backhand,,1.0,,1.0,,,,,,-18.0,154.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,,,,,,,,Short
30-40,3-3,0-0,,2497004,,,41,,3,Deuce,Iiro Vasa,Far,,,,,,,,,,-18.0,119.0,Crosscourt,Backhand,,,,,,,,1,,144.0,-395.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,1.0,,,,,,,Deep
30-40,3-3,0-0,,2498350,,,41,,4,Deuce,Iiro Vasa,Far,,,,,,,,,,181.0,-462.0,Crosscourt,Forehand,,1.0,,1.0,,,,,,-82.0,117.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,,,,,,,,Short
30-40,3-3,0-0,,2499929,1.0,2500728.0,41,,5,Deuce,Iiro Vasa,Far,,,,,,,,,,-74.0,135.0,Down the Line,Forehand,,,,,,,,1,,-82.0,-150.0,1.0,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,Iiro Vasa,,,,Short
40-40,3-3,0-0,1.0,2529786,,,42,1.0,1,Deuce,Iiro Vasa,Far,0.0,T,48.0,1.0,1.0,Body,86.0,-196.0,,,,,,,,,,,,,,,,,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,,,2nd Serve In,Body,
40-40,3-3,0-0,,2549036,,,42,,2,Deuce,Iiro Vasa,Far,,,,,,,,,,131.0,-342.0,Crosscourt,Forehand,,,,,,,,,,-24.0,258.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,,,,,,,,Short
40-40,3-3,0-0,,2549997,,,42,,3,Deuce,Iiro Vasa,Far,,,,,,,,,,-48.0,444.0,Down the Line,Forehand,,,,,,,,,,-61.0,-331.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,,,,,Short
40-40,3-3,0-0,,2551519,,,42,,4,Ad,Iiro Vasa,Far,,,,,,,,,,-82.0,-422.0,Crosscourt,Forehand,,,,,,,,,,43.0,407.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,1.0,,,,,,,Deep
40-40,3-3,0-0,,2552827,,,42,,5,Ad,Iiro Vasa,Far,,,,,,,,,,43.0,492.0,Down the Line,Forehand,,,,,,,,,,72.0,-416.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,1.0,,,,,,Deep
40-40,3-3,0-0,,2554407,,,42,,6,Deuce,Iiro Vasa,Far,,,,,,,,,,88.0,-464.0,Crosscourt,Forehand,,,,,,,,,,-45.0,354.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,,,,,,,,Deep
40-40,3-3,0-0,,2555526,,,42,,7,Deuce,Iiro Vasa,Far,,,,,,,,,,-64.0,460.0,Crosscourt,Forehand,,,,,,,,,,70.0,-256.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,,,,,Short
40-40,3-3,0-0,,2556667,,,42,,8,Deuce,Iiro Vasa,Far,,,,,,,,,,96.0,-414.0,Down the Line,Forehand,1.0,,,,,,,,,91.0,271.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,,,,,,,,Short
40-40,3-3,0-0,,2558103,,,42,,9,Ad,Iiro Vasa,Far,,,,,,,,,,78.0,439.0,Crosscourt,Backhand,,,,,,,,,,-45.0,-326.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,,,,,Short
40-40,3-3,0-0,,2559817,,,42,,10,Ad,Iiro Vasa,Far,,,,,,,,,,-69.0,-438.0,Crosscourt,Forehand,,,,,,,,,,78.0,309.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,1.0,,,,,,,Short
40-40,3-3,0-0,,2561189,,,42,,11,Ad,Iiro Vasa,Far,,,,,,,,,,75.0,444.0,Down the Line,Backhand,,,,,,,,,,88.0,-315.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,,,,,Short
