pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
15-0,1-0,0-0,1.0,273000,,,6,,1,Ad,Theo Papamalamis,Far,0.0,T,-21.57709427,-372.2501859,1.0,T,-45.4928423,-131.4801947,,38.86737752,492.6800416,,,,,,,,,,,,,,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Spencer Johnson,Theo Papamalamis,,,,,,2nd Serve In,T,
15-0,1-0,0-0,,283000,1.0,283000.0,6,,2,Ad,Theo Papamalamis,Far,,,,,,,,,,-84.01427712,-447.4852198,Crosscourt,Forehand,,,,,,,,,,156.0583552,472.8377133,,,,,1.0,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,1.0,,,,Spencer Johnson,Spencer Johnson,,,,Theo Papamalamis,1,,,Long
30-0,1-0,0-0,1.0,305000,,,7,,1,Deuce,Theo Papamalamis,Far,0.0,T,45.22012248,-311.3406168,1.0,Wide,113.9502242,-167.9528434,,-29.63758202,447.1941656,,,,,,,,,,,,,,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Spencer Johnson,Theo Papamalamis,,,,,,2nd Serve In,Wide,
30-0,1-0,0-0,,315000,,,7,,2,Deuce,Theo Papamalamis,Far,,,,,,,,,,168.1097386,-454.7413276,Down the Line,Forehand,,,,,,,,,,107.7304517,354.4545002,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Spencer Johnson,Spencer Johnson,,1.0,,,,,,Deep
30-0,1-0,0-0,,316000,,,7,,3,Ad,Theo Papamalamis,Far,,,,,,,,,,87.11061352,546.7598644,Crosscourt,Backhand,,,,,,,,,,-25.8920385,-265.0096347,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,1.0,,,,Spencer Johnson,Theo Papamalamis,,,,,,,,Short
30-0,1-0,0-0,,318000,,,7,,4,Ad,Theo Papamalamis,Far,,,,,,,,,,-52.67289479,-488.9581529,Crosscourt,Backhand,,,,,,,,,,132.4292979,396.8817804,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Spencer Johnson,Spencer Johnson,1.0,,,,,,,Deep
30-0,1-0,0-0,,319000,,,7,,5,Ad,Theo Papamalamis,Far,,,,,,,,,,135.8553095,526.090152,Down the Line,Backhand,,,,,,,,,,61.41179462,-424.8171315,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Spencer Johnson,Theo Papamalamis,,,,,,,,Deep
30-0,1-0,0-0,,321000,,,7,,6,Deuce,Theo Papamalamis,Far,,,,,,,,,,43.62632874,-455.0629648,Down the Line,Forehand,,,,,,,,,,13.21801181,314.4061789,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Spencer Johnson,Spencer Johnson,,1.0,,,,,,Short
30-0,1-0,0-0,,322000,,,7,,7,Ad,Theo Papamalamis,Far,,,,,,,,,,15.66801181,515.5273021,Crosscourt,Forehand,,,,,,,,,,-75.70304024,-374.4173611,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,1.0,,,,Spencer Johnson,Theo Papamalamis,1.0,,,,,,,Deep
30-0,1-0,0-0,,323000,,,7,,8,Ad,Theo Papamalamis,Far,,,,,,,,,,-103.3226105,-500.0330654,Crosscourt,Backhand,,,,,,,,,,28.35382765,239.5268482,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Spencer Johnson,Spencer Johnson,1.0,,,,,,,Short
