pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,isInsideOut,isInsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
15-0,0-0,0-0,,78166,,,2,,8,Deuce,Spencer Johnson,Far,,,,,,,,,,59.0,-485.0,Crosscourt,Forehand,,,,,,,,,,-79.0,270.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,,,,,0,,,Short
15-0,0-0,0-0,,79418,,,2,,9,Deuce,Spencer Johnson,Far,,,,,,,,,,-127.0,498.0,Crosscourt,Backhand,,,,,,,,,,30.0,-260.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,,,,0,,,Short
15-0,0-0,0-0,,81260,,,2,,10,Deuce,Spencer Johnson,Far,,,,,,,,,,83.0,-437.0,Crosscourt,Forehand,,,,,,,,,,-79.0,334.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,,,,,0,,,Short
15-0,0-0,0-0,,82369,,,2,,11,Deuce,Spencer Johnson,Far,,,,,,,,,,-132.0,496.0,Crosscourt,Backhand,,,,,,,,,,1.0,-340.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,,,,0,,,Short
15-0,0-0,0-0,,83734,,,2,,12,Deuce,Spencer Johnson,Far,,,,,,,,,,49.0,-517.0,Down the Line,Forehand,,,,,,,,,,70.0,380.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,,,,,0,,,Deep
15-0,0-0,0-0,,85455,,,2,,13,Ad,Spencer Johnson,Far,,,,,,,,,,97.0,498.0,Crosscourt,Forehand,,,,,,,,,,-39.0,-276.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,,,,0,,,Short
15-0,0-0,0-0,,86446,,,2,,14,Ad,Spencer Johnson,Far,,,,,,,,,,-116.0,-482.0,Crosscourt,Forehand,,,,,,,,,,43.0,326.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,1,,,,0,,,Short
15-0,0-0,0-0,,87483,,,2,,15,Ad,Spencer Johnson,Far,,,,,,,,,,83.0,512.0,Down the Line,Forehand,,,,,,,,,,91.0,-337.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,,,,0,,,Short
15-0,0-0,0-0,,88841,,,2,,16,Deuce,Spencer Johnson,Far,,,,,,,,,,131.0,-554.0,Crosscourt,Forehand,,,,,1.0,,,,,-60.0,337.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,,,,,0,,,Short
15-0,0-0,0-0,,91117,,,2,,17,Deuce,Spencer Johnson,Far,,,,,,,,,,-130.0,482.0,Down the Line,Backhand,1.0,,,,,,,,,-63.0,-374.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,,,,0,,,Deep
15-0,0-0,0-0,,92006,,,2,,18,Ad,Spencer Johnson,Far,,,,,,,,,,-37.0,-485.0,Down the Line,Backhand,,,,,,,,,,-90.0,236.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,,,,,0,,,Short
15-0,0-0,0-0,,93605,,,2,,19,Deuce,Spencer Johnson,Far,,,,,,,,,,-100.0,416.0,Down the Line,Backhand,1.0,,,,,,,,,-76.0,-254.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,,,,0,,,Short
15-0,0-0,0-0,,95540,,,2,,20,Ad,Spencer Johnson,Far,,,,,,,,,,-90.0,-333.0,Down the Line,Backhand,,,,,,,,,,-130.0,348.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,,,,,0,,,Short
15-0,0-0,0-0,,96909,,,2,,21,Deuce,Spencer Johnson,Far,,,,,,,,,,-132.0,480.0,Down the Line,Backhand,,,,,,,,,,-23.0,-55.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,,,,0,,,Short
15-0,0-0,0-0,,98067,,,2,,22,Deuce,Spencer Johnson,Far,,,,,,,,,,11.0,-35.0,Down the Line,Forehand,,1.0,,,,,,,,57.0,143.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,,,,,0,,,Short
15-0,0-0,0-0,,98439,1.0,98449.0,2,,23,Ad,Spencer Johnson,Far,,,,,,,,,,83.0,293.0,Down the Line,Forehand,,,,,,,,,,57.0,143.0,,,,1.0,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,,,Oscar Pinto Sansano,1,,,
15-15,0-0,0-0,1.0,134432,,,3,,1,Deuce,Spencer Johnson,Far,1.0,T,46.0,-124.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,,,,0,1st Serve In,T,
15-15,0-0,0-0,,139531,,,3,,2,Deuce,Spencer Johnson,Far,,,,,,,,,,35.0,-533.0,Down the Line,Backhand,,,,,,,,,,3.0,143.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,,1,,,0,,,Short
15-15,0-0,0-0,,139532,,,3,,3,Ad,Spencer Johnson,Far,,,,,,,,,,17.0,133.0,Crosscourt,Forehand,,1.0,,,,,,,,-119.0,-369.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,,,,0,,,Deep
15-15,0-0,0-0,,140967,,,3,,4,Ad,Spencer Johnson,Far,,,,,,,,,,-162.0,-485.0,Down the Line,Backhand,,,,,,,,,1.0,-68.0,225.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,,,,,0,,,Short
15-15,0-0,0-0,,142871,1.0,142881.0,3,,5,Deuce,Spencer Johnson,Far,,,,,,,,,,-55.0,232.0,Down the Line,Forehand,,,1.0,,,,,,,-140.0,-318.0,1.0,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,1,,Spencer Johnson,0,,,Short
30-15,0-0,0-0,1.0,166555,,,4,,1,Ad,Spencer Johnson,Far,1.0,T,-45.0,-148.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,,,,0,1st Serve In,T,
30-15,0-0,0-0,,169745,,,4,,2,Ad,Spencer Johnson,Far,,,,,,,,,,-95.0,-544.0,Down the Line,Forehand,,,,,,,,,,-13.0,225.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,,1,,,0,,,Short
30-15,0-0,0-0,,169746,,,4,,3,Ad,Spencer Johnson,Far,,,,,,,,,,6.0,229.0,Crosscourt,Forehand,,,,,,,,,,-34.0,-265.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,,,,0,,,Short
30-15,0-0,0-0,,169906,,,4,,2,Ad,Spencer Johnson,Far,,,,,,,,,,-124.0,-538.0,Down the Line,Forehand,,,,,,,,,,-13.0,222.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,,1,,,0,,,Short
30-15,0-0,0-0,,172266,1.0,173236.0,4,,4,Ad,Spencer Johnson,Far,,,,,,,,,,-45.0,-349.0,Crosscourt,Forehand,,,,,,,,,,75.0,308.0,1.0,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,1,,,Oscar Pinto Sansano,0,,,Short
30-30,0-0,0-0,1.0,197744,,,5,,1,Deuce,Spencer Johnson,Far,0.0,Body,81.0,39.0,1.0,Body,62.0,-145.0,,,,,,,,,,,,,,,,,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,,,,0,2nd Serve In,Body,
30-30,0-0,0-0,,219119,,,5,,2,Deuce,Spencer Johnson,Far,,,,,,,,,,145.0,-546.0,Down the Line,Backhand,,,,,,,,,,118.0,180.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,,1,,,0,,,Short
30-30,0-0,0-0,,220474,,,5,,3,Ad,Spencer Johnson,Far,,,,,,,,,,110.0,131.0,Crosscourt,Forehand,,1.0,,,,,,,,-21.0,-71.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,,,,0,,,Short
30-30,0-0,0-0,,221599,,,5,,4,Ad,Spencer Johnson,Far,,,,,,,,,,-66.0,-61.0,Crosscourt,Backhand,,,,,,,,,1.0,11.0,188.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,,,,,0,,,Short
30-30,0-0,0-0,,222810,1.0,222268.0,5,,5,Ad,Spencer Johnson,Far,,,,,,,,,,17.0,179.0,Crosscourt,Forehand,,,,,,,,,,-79.0,65.0,1.0,,,1.0,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,,,Oscar Pinto Sansano,1,,,
40-30,0-0,0-0,1.0,251678,,,6,,1,Ad,Spencer Johnson,Far,0.0,Body,-87.0,28.0,1.0,Body,-87.0,-148.0,,,,,,,,,,,,,,,,,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,,,,0,2nd Serve In,Body,
40-30,0-0,0-0,,263574,,,6,,2,Ad,Spencer Johnson,Far,,,,,,,,,,-223.0,-546.0,Crosscourt,Backhand,1.0,,,,,,,,,27.0,428.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,,,,,0,,,Deep
40-30,0-0,0-0,,264367,,,6,,2,Ad,Spencer Johnson,Far,,,,,,,,,,-178.0,-493.0,Crosscourt,Backhand,1.0,,,,,,,,,17.0,430.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,,,,,0,,,Deep
40-30,0-0,0-0,,266773,,,6,,3,Ad,Spencer Johnson,Far,,,,,,,,,,59.0,501.0,Crosscourt,Forehand,,,,,,,,,,-84.0,-214.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,,,,0,,,Short
40-30,0-0,0-0,,268276,,,6,,3,Ad,Spencer Johnson,Far,,,,,,,,,,59.0,496.0,Crosscourt,Forehand,,,,,,,,,,-124.0,-348.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,,,,0,,,Short
40-30,0-0,0-0,,268842,,,6,,4,Ad,Spencer Johnson,Far,,,,,,,,,,-178.0,-530.0,Down the Line,Backhand,,,,,,,,,,-68.0,342.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,,,,,0,,,Short
40-30,0-0,0-0,,269011,,,6,,4,Ad,Spencer Johnson,Far,,,,,,,,,,-218.0,-517.0,Down the Line,Backhand,1.0,,,,,,,,,-108.0,401.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,,,,,0,,,Deep
40-30,0-0,0-0,,269012,,,6,,5,Deuce,Spencer Johnson,Far,,,,,,,,,,-108.0,482.0,Down the Line,Forehand,,,,,,,,,,-100.0,-286.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,1,,,0,,,Short
40-30,0-0,0-0,,269987,,,6,,5,Deuce,Spencer Johnson,Far,,,,,,,,,,-108.0,488.0,Down the Line,Forehand,,,,,,,,,,-87.0,-294.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,1,,,0,,,Short
40-30,0-0,0-0,,270837,,,6,,6,Ad,Spencer Johnson,Far,,,,,,,,,,-138.0,-504.0,Crosscourt,Backhand,,,,,,,,,,62.0,278.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,,,,,0,,,Short
40-30,0-0,0-0,,272380,1.0,274214.0,6,,7,Ad,Spencer Johnson,Far,,,,,,,,,,67.0,213.0,Down the Line,Forehand,,1.0,,,,,,,,1.0,25.0,,,,1.0,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,,,Oscar Pinto Sansano,1,,,
40-40,0-0,0-0,1.0,301752,,,7,1.0,1,Deuce,Spencer Johnson,Far,1.0,Body,78.0,-209.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,,,,0,1st Serve In,Body,
40-40,0-0,0-0,,306299,1.0,306309.0,7,,2,Deuce,Spencer Johnson,Far,,,,,,,,,,190.0,-554.0,Down the Line,Backhand,,,,,,,,,,169.0,143.0,,1.0,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,,1,,Spencer Johnson,1,,,
0-0,0-1,0-0,1.0,363304,,,8,,1,Deuce,Oscar Pinto Sansano,Far,1.0,T,46.0,-233.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Spencer Johnson,Oscar Pinto Sansano,,,,,0,1st Serve In,T,
0-0,0-1,0-0,,367087,,,8,,2,Deuce,Oscar Pinto Sansano,Far,,,,,,,,,,41.0,-509.0,Crosscourt,Forehand,,,,,,,,,,-63.0,183.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Spencer Johnson,Spencer Johnson,1,,,,0,,,Short
0-0,0-1,0-0,,368488,,,8,,3,Deuce,Oscar Pinto Sansano,Far,,,,,,,,,,-68.0,229.0,Crosscourt,Forehand,,,,1.0,,,,,,102.0,-369.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Spencer Johnson,Oscar Pinto Sansano,,,,,0,,,Deep
0-0,0-1,0-0,,369573,,,8,,4,Deuce,Oscar Pinto Sansano,Far,,,,,,,,,,182.0,-544.0,Down the Line,Backhand,,,,,,,,,,99.0,87.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Spencer Johnson,Spencer Johnson,,,,,0,,,Short
0-0,0-1,0-0,,370729,1.0,371104.0,8,,5,Ad,Oscar Pinto Sansano,Far,,,,,,,,,,102.0,83.0,Crosscourt,Backhand,,,,,1.0,,,,,-146.0,-55.0,1.0,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Spencer Johnson,Oscar Pinto Sansano,,,,Oscar Pinto Sansano,0,,,Short
0-15,0-1,0-0,1.0,387512,,,9,,1,Ad,Oscar Pinto Sansano,Far,1.0,T,-23.0,-220.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Spencer Johnson,Oscar Pinto Sansano,,,,,0,1st Serve In,T,
