pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,isInsideOut,isInsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
15-0,2-3,0-1,,3967171,,,85,,3,Ad,Anne Lutkemeyer,Far,,,,,,,,,,32.0,494.0,Crosscourt,Forehand,,,,,,,,,,-104.0,-283.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Anne Lutkemeyer,1,,,,0,,,Short
15-0,2-3,0-1,,3969165,,,85,,4,Ad,Anne Lutkemeyer,Far,,,,,,,,,,-176.0,-468.0,Crosscourt,Backhand,,,,,,,,,,109.0,391.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Catherine Gagnon,,,,,0,,,Deep
15-0,2-3,0-1,,3970087,,,85,,5,Ad,Anne Lutkemeyer,Far,,,,,,,,,,112.0,507.0,Crosscourt,Backhand,,,,,,,,,,-27.0,-193.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Anne Lutkemeyer,,,,,0,,,Short
15-0,2-3,0-1,,3972876,,,85,,6,Ad,Anne Lutkemeyer,Far,,,,,,,,,,-80.0,-431.0,Down the Line,Backhand,,,,,,,,,,-91.0,380.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Catherine Gagnon,,,,,0,,,Deep
15-0,2-3,0-1,,3974109,,,85,,7,Deuce,Anne Lutkemeyer,Far,,,,,,,,,,-83.0,507.0,Down the Line,Forehand,,,,,,,,,,-93.0,-265.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Anne Lutkemeyer,,,,,0,,,Short
15-0,2-3,0-1,,3975657,,,85,,8,Ad,Anne Lutkemeyer,Far,,,,,,,,,,-107.0,-479.0,Crosscourt,Backhand,,,,,,,,,,21.0,356.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Catherine Gagnon,,,,,0,,,Deep
15-0,2-3,0-1,,3977176,,,85,,9,Ad,Anne Lutkemeyer,Far,,,,,,,,,,77.0,491.0,Crosscourt,Forehand,,,,,,,,,,-131.0,-321.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Anne Lutkemeyer,1,,,,0,,,Short
15-0,2-3,0-1,,3979021,,,85,,10,Ad,Anne Lutkemeyer,Far,,,,,,,,,,-213.0,-503.0,Down the Line,Backhand,,,,,,,,,,-125.0,409.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Catherine Gagnon,,,,,0,,,Deep
15-0,2-3,0-1,,3982666,,,85,,11,Deuce,Anne Lutkemeyer,Far,,,,,,,,,,-141.0,502.0,Crosscourt,Forehand,,,,,,,,,,69.0,-257.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Anne Lutkemeyer,,,,,0,,,Short
15-0,2-3,0-1,,3983885,,,85,,12,Deuce,Anne Lutkemeyer,Far,,,,,,,,,,162.0,-508.0,Down the Line,Forehand,,,,,,,,,,130.0,423.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Catherine Gagnon,,,,,0,,,Deep
